Name,MetadataID,ResourceIdentifier,Summary,OrganisationName,Information_owner_organization,ContactMailAddress,date
SBK Stockholmskarta (flera varianter) (internt SBK),453cca6f-29bd-4556-aa64-4dd12abc77a1,df9755be-c3ed-4068-91cc-451867f0f217,"Stockholmskartorna är en blandning av översiktskartorna Stadskartan (skala 1:4000) och Tätortskartan (skala 1:15000) där innehållet har anpassats så att man bekvämt kan zooma i kartan i ett stort skalintervall. Den nedtonade färgsättningen gör Stockholmskartorna lämpliga som bakgrund när annan information ska presenteras med mer framträdande färgsättning.Stockholmskartorna innehåller t ex bebyggelseområden, byggnader, anläggningar, vägar, vägnamn, GC-vägar, spårnät och grönområden.Gällande WMS-tjänsterna: applikationer som implementerar WMS Tiling Client Recommendation rekommenderas att använda den tilade WMS-tjänsten.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Historiska flygbilder (1949 - 1981) (internt SBK),13439fb8-7368-4c97-a599-19af9ece0bd8,65a454e6-7a71-4fe2-983b-e56cd50a12ff,Flygbilder för framställning av stereobilder för fotogrametriskt mätning. Bilderna togs i varierande omfattning mellan åren 1949 och 1981. För att få en uppfattning var man flög och när hänvisas till flygstråksöversikterna. Bilderna ligger som papperskopior och/eller negativ i stadsbyggnadskontorets arkiv.,Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Ortofoto (2019),137fc1a0-59ad-4e23-9712-8d81205ad75d,cb6fba40-e616-465f-8bf5-d4e1883c1f1f,Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter. Flyghöjd: 1828 - 1890 meter över marken. Upplösning: 8 cm på marken per pixel,Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Hårdgöring Stockholms stad och Huddinge kommun - Öppna data,f39a7883-0584-4ac9-bc8c-f17e3a9008fd,5e7ccef3-80ef-4b75-a36d-ef8f87febbea,"StockholmRastret togs fram 2016 och beskriver var det finns hårdgjorda ytor i Stockholms stad utifrån markanvändningarna hårdgjord yta (takpolygoner), hårdgjord yta, grönyta och vatten. Metadatan innehåller inte avrinningskoefficienter. Rastret baseras på bildanalys av IR-foton, ytkartering och analys av ortofoton. Felaktigheter och brister i materialet förekommer, framförallt för ytor som ligger under vegetation, exempelvis trädkronor. Detta raster tar inte hänsyn till förändringar som har skett vid exploatering efter år 2008. Rastret bör endast användas som underlag till hydrauliska modeller och skyfallsutredningar.HuddingeFramtaget av Tyréns under 2018 utifrån bildanalys av IR-foton från 2008 över Huddinge kommun.Följande underlag har legat till grund för utredningen:· Grundkarta med väglinjer, byggnadspolygoner och vattenpolygoner· Huddinge kommungräns· IR-foto, 0.5m 2008, Lantmäteriet· Väg- och gatunät mittlinjer 2015, Stockholm Stad· Åkermark, öppen data, Jordbruksverket",Stockholm Vatten och Avfall,Stockholm Vatten och Avfall,gis@svoa.se,2022-05-05
SBK Ortofoto (2012),86fe674c-8a50-4ece-8b5b-b6e8a09d1e57,dedd4e38-568d-4418-ad03-a560b58a7fb9,Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter.Flyghöjd: 1300 mUpplösning: 8 cm/pixel,Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
"SBK Höjdgrid (2017, 2018, 2019) (internt SBK)",bb0e9d76-b9e0-42d2-aea5-f0ca22254a7f,c23c03f6-1afe-4121-a9dd-a940a11fe58b,"Höjdgrid är en markmodell (DTM = Digital terrängmodell, som redovisar höjddata. De koordinatsatta punkterna i gridfilen är baserade på data från flygburen laserskanning över Stockholms stad från 2017, 2018 och 2019 och interpolerat till ett grid med upplösning 1 m, 5m och 10m. Punkttätheten i originalpunktmolnet är minst 12 punkter/m2 på marken.Punkterna har inte ajourförts sedan de skapades. Det innebär att för områden där marken har förändrats sedan skanningstillfället, stämmer inte koordinaterna för punkterna.Punkterna i lagret ?Dold mark? visar den interpolerade markhöjden under befintliga byggnader. Att höjderna är interpolerade innebär att de är framräknade höjder från omkringliggande kända höjder. De kända höjderna är mätta runtom byggnaden.Punkterna i lagret ?Dolt vatten? visar den interpolerade vattenhöjden under befintliga broar. Att höjderna är interpolerade innebär att de är framräknade höjder från omkringliggande kända höjder. De kända höjderna är mätta runtom broarna.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
SBK Ortofoto (1998),74fb37e4-a07a-45bb-809f-f85e2d812134,5669d94e-d6af-48f9-a0db-4cacacf3647a,"Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter. Flyghöjd: 3000 m, upplösning: 16 cm/pixel i ortofoto. Orektifierade bilderna försvunna. Det verkar inte finnas en WMS-tjänst med detta ortofoto.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
SBK Ortofoto (2005),0cfd1cea-c419-4652-989d-a88a545c5de9,a49c042d-94aa-4fcb-81fa-271b01131379,"Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter. Flyghöjd: ? m, upplösning: 20 cm/pixel i ortofoto. Orektifierade bilderna försvunna. Detta ortofoto finns bara tillgängligt som rasterpyramid i dpMap. Innehåller geometriska fel och ska ej mätas i.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
SBK Stadskarta - Stadsdelar,a7b641e1-1310-4ca6-9b32-87b9482262db,fecdf168-3159-4e54-bbcb-d8309e32b408,"Stadskarta - Stadsdelar  bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Stadskartan) :450180, StadsdelUndertyper10, Stadsdel, modifierbar, aktiv.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Cykelparkering,LvFeature8885279,73c0264e-f594-4061-bfef-68fad68fad72,"Punktgeometri som visar ett urval av stadens cykelparkeringar. Kartlagret bygger på tidigare inventeringar och är inte helt komplett utan saknar vissa cykelparkeringar. Exempel på parkeringar som visas är pollare, framhjulshållare, Stockholmshage, tvåvåningsställ och lastcykel. Kartlagret används för att synliggöra stadens cykelparkeringsbestånd avseende plats och typ. Datat uppdateras löpande vid behov. Ansvarig verksamhet: Trafikkontoret, Trafikplaneringsavdelningen, enheten Investering.",Stockholms stad - Trafikkontoret,Stockholms stad - Trafiknämnd,funktionsbrevlada.tk.open.data@stockholm.se,2023-04-05
